高中英语单词表3500词乱序版（带音标）
a  art.一（个、件……）
buffet   n.自助餐
compensate   v.补偿，弥补
price  n.价格，价钱
twice  ad.两次；两倍
Arabic   a.阿拉伯语的n.阿拉伯语
build  v.建筑；造
compete   vi.比赛，竞赛
pride  n.自豪，骄傲
twin  n.双胞胎之一
Arctic   a.北极的
building   n.建筑物；房屋；大楼
competence   n.能力,胜任,管辖权
primary  a.初等的；初级的
twist  v./n.使弯曲，转动
theArctic   北极
bun   n.馒头；小甜面包
competition   n.比赛，竞赛
primaryschool   小学
two  num.二
theArcticOcean   北冰洋
bunch   n.串,束,扎,大量,大批
competitor   n.竞赛者，比赛者
primitive  a.原始的，远古的
type  vt.打字
are   v.是
bungalow   n.平房
complete   a.完成vt.完成，结束
principle  n.道德原则，法则
typewriter  n.打字机
area   n.面积；地域，地方，区域；范围，领域
burden   n.（义务，责任的）重担，负担
complex  a./n.复杂的，建筑群
print  vt.印刷
typical  a.典型的，有代表性的，特有的
argue  vi.争辩，争论
bureaucratic   a.官僚的
component   n.组成部分，部件
printer  n.打印机
typhoon  n.台风
argument   n.争论，辩论
burglar   n.入室窃贼
composition   n.作文；作曲
printing  n.印刷，印刷术
typist  n.打字员
arise  vi.起来，升起；出现
burial   n.埋葬
comprehension   n.理解
prison  n.监狱
tyre  n.轮胎
arithmetic   n.算术
burn  v.燃，烧，着火；使烧焦；使晒黑n.烧伤；晒伤
compromise   v.妥协,折中,让步
prisoner  n.囚犯
arm   n.臂,支架v.以…装备,武装起来n.（美）武器,武力
burst   v.突然发生；突然发作
compulsory   a.强制的,必须做的
private  a.私人的
armchair   n.扶手椅
bury   vt.埋；葬
computer   n.电子计算机
privilege  特权，特殊待遇
army   n.军队
bus   n.公共汽车
computergame   电子游戏
prize  n.奖赏，奖品
around   ad.在周围；在附近prep.在……周围；大约
busstop   n。公共汽车站
comrade   n.同志
probable  a.很可能,很有希望的
arrange   v.安排，布置
bush  n.灌木丛，矮树丛
concentrate   v.聚精会神
probably  ad.很可能，大概
arrangement  n.安排，布置
business   n.（本分）工作，职业；职责；生意，交易；事业
concept   n.概念
problem  n.问题，难题
arrest   v.逮捕，拘留
businessman  n.商人（男）；男企业家
concern   v./n.涉及，关心
procedure  n.程序,手续,待遇
arrival   n.到来，到达
businesswoman  n.商人（女）；女企业家
concert   n.音乐会；演奏会
process  n./v.过程,加工,处理
arrive   vi.到达；达到
busy  a.忙（碌）的
conclude   v.完成，结束
produce  vt.生产；制造
arrow   n.箭；箭头
but  conj.但是，可是prep.除了,除……外
conclusion   n.结论；结束
product  n.产品，制品
art   n.艺术，美术；技艺
butcher   n.vt.肉店；屠夫屠宰（动物）；残杀（人）
concrete   a.混凝土制的
production  n.生产；制造
article   n.文章;东西,物品;冠词
butter  n.黄油，奶油
condition   n.条件，状况
profession  n.（需要有高等教育学位的）职业（如医生或律师）
artificial   a.人工的，人造的
butterfly  n.蝴蝶
